# NAME: Culberson graph. Specifications given below. Weights computed via the uniform distribution.
# COMMENT: DESCRIPTION: Quasi-random coloring problem
# CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca)
# Specifications:
# Random seed: 17642
# No hidden coloring
# Probability: 0.417278
# girth/degree-limited graph, girth 9, delta 1552, max 3846
# Degree Information:
# Min:3 Avg:5.168050 Max:11 Std:1.081504
# No verification required.
# Creation Date: Mon Apr 11 19:48:08 2016
# Weight distribution parameters: a=-10.0; b=21.0; seed=2646.
# TYPE: Random Graphs
4457 11517
27 39 -9.40246834411
23 84 -6.4449224722
66 86 14.6179151738
52 94 -6.36907374735
95 116 6.54809117105
88 132 11.6818074519
9 150 -1.95729737386
58 152 -2.31751062033
48 156 1.55957716876
4 163 -7.50624917167
21 163 12.5264819439
165 167 11.8111921925
47 169 4.38130598731
132 179 16.8795699609
107 180 1.69355265101
55 182 12.8635253374
26 183 9.13679746169
93 184 7.26840894796
117 188 5.46208145404
92 191 2.78815480388
19 194 -9.42729514892
148 195 11.6313192376
170 208 -2.87829496749
23 211 6.61483799885
152 214 2.56556008064
9 221 16.1474906667
103 228 6.93357314668
106 231 16.5764561333
125 232 18.2503261985
154 232 -1.00364929646
87 234 -3.95715898591
202 235 11.0125516359
91 244 -7.98317232646
233 255 10.2749204362
75 257 -9.05513280378
199 259 9.91737805036
197 262 12.7445784
204 264 -1.80838404693
86 277 -8.26071603279
13 278 9.35541153837
109 278 -2.9012803694
130 278 4.12755240182
262 289 -3.77800499419
164 293 10.6064372745
103 295 -3.28824860475
68 296 18.9899699339
290 299 -2.94967802627
39 301 17.6476614351
284 303 5.75366405492
19 310 -4.24540430338
89 311 -4.38669600573
125 321 8.53031067964
110 322 -5.35896779059
278 322 -1.11797731618
315 324 14.6968328756
133 336 17.3214696499
198 336 19.5719125916
113 337 10.9104582127
138 337 -9.39781989201
305 340 -9.06956186045
180 342 -7.94022589023
263 344 -4.84479320447
330 344 -0.496305113192
191 349 -8.7248754483
319 349 19.1915332484
306 352 -0.693392652041
308 357 5.0152308331
221 363 -0.452014582402
298 364 10.4275603016
241 367 -5.24831961923
27 369 -6.56867895949
167 375 19.1841255401
224 376 15.8225916167
361 382 15.2050896261
140 384 -5.27917908069
292 388 12.918185085
209 391 -7.00676541181
355 391 -4.51565756258
207 392 -1.88145967635
137 393 3.2164323738
10 395 -4.52881778526
59 397 7.92364615212
156 398 -4.26823551641
214 399 9.78131877992
295 401 6.28908430719
401 406 16.6601139817
277 410 15.10218211
251 415 -1.58937323739
360 418 -0.653411004552
67 422 18.5124494191
192 422 -2.83499287368
103 428 17.3792417852
265 431 20.7180576851
126 434 14.1674543218
118 436 -9.84839145355
344 442 15.6253411301
114 443 4.1763182546
328 446 -1.54378750138
377 447 5.56078721714
168 448 10.0943386591
184 451 -4.70761900264
222 452 -0.792557979316
406 452 8.58372301371
157 455 -5.22919836411
175 457 0.470633397738
169 459 16.1257352336
64 460 12.0137305173
175 462 10.120873258
298 462 7.13230219244
244 464 10.3478019893
435 464 9.47451195719
169 466 16.5710752856
58 468 -4.71688362868
123 469 10.9799196045
414 470 -9.32561486658
50 472 9.91999038419
287 472 -2.98690683834
317 472 -6.13109970731
358 472 9.85576777543
147 473 -1.46178739039
388 476 1.54358423356
338 477 5.37543509757
239 478 14.4207334971
381 479 3.91036206272
296 481 14.0262879178
314 483 11.3729597575
127 487 3.08761645161
17 488 17.4651665318
169 490 4.23539506716
15 491 -1.20397887699
64 491 4.01437270094
55 493 -8.88669122209
15 494 -4.82628733609
439 494 -8.10829928086
11 495 13.0202024603
190 496 11.1485561598
288 496 8.49604795837
173 497 4.18905437291
382 497 6.47474441068
375 498 -1.72709478078
341 500 10.0427993005
402 500 10.2272758278
465 504 4.71331922081
489 504 18.0407008807
2 506 8.20155457363
325 509 9.66690959352
255 510 19.7794234752
99 512 18.9864227472
353 513 19.7781800148
369 515 18.6300923198
8 516 16.2572892528
454 516 18.2596487824
105 519 18.0055466888
229 519 17.0863335116
503 528 -8.83266311176
359 530 5.89783678024
51 531 -9.44001710012
285 531 20.1146901671
426 532 20.9099433947
86 533 -8.45407690704
67 534 6.31106578281
365 534 5.67934298727
269 537 11.2848920467
43 541 19.8387802544
370 542 -6.13120336235
111 543 5.07913302873
185 547 -3.00879179544
366 547 5.32203374708
139 550 -4.58916385363
155 552 -8.11931884157
307 553 2.32453679116
7 554 9.10149201355
79 555 19.3425617784
282 555 5.76909561568
514 556 0.118434881353
273 561 10.6099301952
456 561 -4.0799613955
193 562 -1.90500672134
119 564 -2.36813161453
334 565 4.33991781957
300 567 15.1783875315
60 568 5.29118714075
108 568 18.1562668946
321 569 5.09713354748
517 570 -5.67899930613
558 570 -8.16619115051
303 573 -3.87366190871
249 575 16.1299338351
506 575 5.9213818564
301 576 -4.62107248644
61 580 0.697329665349
492 581 -4.52074802632
453 583 2.8821098886
563 583 3.62186879446
338 585 9.03740867245
585 586 -6.39153554377
575 587 -4.72780091681
353 588 1.16694470547
360 588 13.1292156831
205 589 -9.14110748489
535 589 17.362533187
491 590 15.4582692985
487 591 -7.34163228879
531 591 10.8952419633
131 592 -2.4605987752
250 594 12.4451900591
299 594 -1.0374511359
450 596 8.01975168357
590 597 -5.17149695286
380 599 -1.57312767939
45 601 19.9237160039
18 604 12.4185235367
521 605 12.4136687898
526 605 6.53806225399
285 607 -8.7028047897
498 607 -0.877074549132
4 610 -2.2791294189
485 611 4.01148849076
98 612 -0.456749080348
160 612 7.72171951473
82 613 -1.08834705986
494 614 -1.69328157805
52 615 15.4721077688
323 617 -8.99632514449
38 620 12.6896651988
89 621 -1.07693812341
217 621 -1.96651623055
534 622 -2.47495865196
384 623 -7.44765034857
263 627 7.08430412411
383 627 0.0379427446091
528 628 8.4886796721
582 629 16.9107898092
597 630 5.48613461224
308 633 -1.99753738244
524 633 7.23578664673
576 633 -0.0823496423849
588 633 0.6462326875
468 635 -5.92080107508
471 636 -3.21430287745
159 637 12.9422836829
252 639 17.0355733978
86 641 13.1518001998
312 641 -0.0925900917739
333 641 1.75477912651
90 643 -7.79050356961
457 643 13.9086710502
73 646 -6.82701302597
130 647 19.5638182111
160 647 -7.10587413972
120 648 -7.89235951977
540 650 6.40591307338
631 650 -2.12554748766
454 651 -3.60703457314
176 652 3.47039066035
528 655 4.5130348729
465 656 10.8544875661
21 658 3.34157605407
392 658 12.9541802011
574 658 -5.51274376988
284 659 15.4456526642
23 660 11.7494579068
334 660 13.8941813198
43 661 13.6246094276
92 664 6.74501898546
415 665 6.54408469754
87 666 14.5145134093
232 668 -9.3774977237
409 669 -1.67964749971
582 669 -2.113298337
307 670 16.9601015552
378 670 11.7036115434
137 671 15.1377280456
622 671 -2.44028836946
435 675 -6.89383367596
504 675 8.95418382451
50 677 2.04994354278
285 679 16.1324076135
317 679 18.6296102066
372 680 10.3388775059
350 681 -4.61511875083
126 684 18.814237395
209 684 3.45834895156
295 684 -7.73407105893
215 685 16.7368130295
688 689 16.7975779177
186 690 19.2906085865
676 692 12.5638834042
616 693 -7.34965731999
300 695 -4.2896777418
412 695 18.3323259045
678 698 9.63420192891
272 699 3.6387987375
598 701 -6.18499767225
195 702 -4.53850034404
312 703 1.83506816223
475 703 16.7382375322
645 703 9.09862132144
700 704 13.5663193876
57 706 8.4504082233
268 706 1.6858979517
378 706 20.8168014476
34 707 10.4493184905
242 707 10.9940132475
556 707 1.89180710802
668 707 4.33385412267
36 709 12.95944357
240 710 0.0840409742634
542 712 11.7769534626
326 714 10.8571833299
484 714 19.0781202204
186 715 -3.69321221238
339 715 -1.91480977563
446 715 0.253917405545
169 716 8.53345043075
2 717 13.2653522124
618 721 1.99318643673
