# NAME: be1000.6
# COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
1001 50865
1 9 -47
1 10 -50
1 15 -79
1 20 -54
1 23 -15
1 35 -81
1 39 21
1 49 33
1 54 -35
1 66 86
1 69 -77
1 83 -78
1 89 37
1 101 26
1 102 -94
1 105 -23
1 107 -6
1 115 -13
1 116 -86
1 153 -74
1 156 51
1 161 -20
1 171 -91
1 190 12
1 200 45
1 214 90
1 218 -83
1 220 -44
1 224 58
1 227 44
1 234 -29
1 241 32
1 255 79
1 262 3
1 296 54
1 318 -100
1 322 43
1 368 63
1 369 70
1 370 -8
1 372 -94
1 382 92
1 395 -24
1 398 15
1 429 82
1 441 -42
1 477 -67
1 480 15
1 486 27
1 515 13
1 520 -45
1 529 23
1 543 -48
1 545 -5
1 552 93
1 559 -43
1 562 -78
1 588 86
1 597 93
1 600 -25
1 605 -95
1 620 4
1 631 65
1 634 17
1 661 60
1 666 -65
1 668 7
1 672 37
1 674 -19
1 677 -72
1 678 -31
1 683 -98
1 685 -57
1 690 28
1 712 14
1 718 -19
1 738 47
1 747 -94
1 749 47
1 759 -74
1 765 -44
1 784 -97
1 794 13
1 797 56
1 802 5
1 818 55
1 824 -39
1 826 86
1 828 87
1 867 97
1 873 24
1 890 -71
1 911 -67
1 938 69
1 955 31
1 959 -26
1 963 -5
1 973 5
1 988 -65
1 993 71
1 995 17
2 5 -52
2 22 64
2 32 66
2 38 97
2 44 61
2 46 82
2 55 -33
2 57 -100
2 73 98
2 78 -93
2 101 -27
2 105 -19
2 106 14
2 112 -92
2 135 -33
2 136 -42
2 145 43
2 158 3
2 183 -81
2 184 -9
2 190 -72
2 200 -28
2 202 -96
2 210 98
2 211 28
2 236 -61
2 245 30
2 277 -36
2 284 -82
2 285 99
2 287 -91
2 289 67
2 308 9
2 330 -71
2 357 -16
2 359 28
2 370 63
2 373 -80
2 376 -12
2 420 51
2 443 -4
2 455 -1
2 456 -64
2 470 -24
2 478 -60
2 482 32
2 498 76
2 503 94
2 508 -45
2 523 83
2 527 -17
2 530 15
2 544 -71
2 584 -28
2 587 -81
2 591 44
2 602 -84
2 616 31
2 619 -50
2 644 17
2 647 22
2 653 -94
2 667 -42
