# NAME: be50.6
# COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
51 151
2 4 31
2 9 -58
2 15 13
2 20 -65
2 36 61
2 43 17
3 6 5
3 14 98
3 20 -59
3 37 29
3 45 33
4 40 -81
4 49 -3
5 7 -100
5 30 4
6 17 14
7 13 -84
7 17 -73
8 30 -26
8 48 -12
8 49 18
9 32 -9
10 14 -49
10 39 -96
10 44 -8
10 49 -67
11 14 4
11 23 23
11 44 -15
11 45 4
12 14 32
12 17 -46
13 22 -88
13 31 79
13 33 64
14 34 -42
15 17 10
15 24 -14
15 31 7
15 36 49
16 38 -26
17 19 74
17 30 33
17 33 -55
17 34 36
17 37 81
17 42 -6
18 22 37
18 32 -44
18 39 -25
20 26 -73
20 31 98
20 34 -98
20 42 43
20 48 -49
21 44 -58
21 45 -20
22 24 -55
22 30 -22
23 25 17
23 31 -53
24 31 -47
24 32 89
24 38 -46
24 49 91
25 28 -76
25 32 -38
25 34 64
25 39 -94
26 33 -83
26 34 57
27 39 34
28 29 -76
28 30 -41
28 35 -29
28 44 97
29 37 91
29 43 -99
30 36 -87
30 39 16
30 49 32
31 32 -91
31 40 85
31 41 19
31 48 5
32 35 -66
32 45 -98
32 47 51
33 36 2
33 43 -48
33 44 -21
34 35 41
34 39 50
34 42 -68
34 47 -57
35 38 -49
36 49 -99
37 38 -81
37 47 73
40 48 -29
42 44 86
1 51 -76
2 51 75
3 51 -95
4 51 53
5 51 96
6 51 -19
7 51 257
8 51 20
9 51 67
10 51 220
11 51 -93
12 51 14
13 51 29
14 51 -43
15 51 -65
16 51 -65
17 51 -68
18 51 10
19 51 -74
20 51 198
21 51 78
22 51 128
23 51 -76
24 51 -18
25 51 127
26 51 99
27 51 -34
28 51 125
29 51 84
30 51 91
31 51 -102
32 51 206
33 51 141
34 51 -57
35 51 103
36 51 74
37 51 -160
38 51 116
39 51 115
40 51 25
41 51 -4
42 51 -55
43 51 130
44 51 -12
45 51 81
46 51 19
47 51 -67
48 51 85
49 51 28
50 51 0
