# NAME: be1000.10
# COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
1001 50028
1 6 -22
1 18 -12
1 28 73
1 41 -92
1 63 -79
1 67 -68
1 77 93
1 88 32
1 107 62
1 132 13
1 136 9
1 142 -43
1 155 -97
1 168 20
1 170 82
1 179 -53
1 188 31
1 198 77
1 220 -37
1 228 36
1 230 -88
1 231 -80
1 235 51
1 238 -36
1 240 -40
1 258 -13
1 262 -11
1 266 51
1 294 -79
1 321 -12
1 327 2
1 331 98
1 336 -88
1 338 -94
1 340 19
1 349 13
1 352 72
1 372 33
1 391 55
1 413 -96
1 415 -37
1 427 -89
1 456 82
1 461 50
1 473 95
1 474 88
1 477 -40
1 499 -65
1 513 -62
1 531 -72
1 534 91
1 539 87
1 545 91
1 546 56
1 553 -40
1 555 41
1 557 17
1 581 58
1 586 20
1 590 -4
1 592 -57
1 595 13
1 616 -91
1 620 -11
1 622 -28
1 648 -43
1 660 16
1 688 42
1 707 -91
1 708 -46
1 714 -45
1 720 24
1 721 71
1 730 70
1 754 51
1 758 -17
1 759 81
1 813 32
1 818 54
1 819 -3
1 836 4
1 860 -55
1 861 -38
1 873 67
1 875 4
1 886 -49
1 889 -34
1 893 -70
1 927 -9
1 935 -69
1 939 -88
1 952 -47
1 964 -6
1 968 37
1 980 73
1 984 56
1 992 30
2 4 -42
2 6 -3
2 9 91
2 13 91
2 42 -31
2 43 17
2 46 23
2 59 -63
2 64 -56
2 79 90
2 82 70
2 88 -79
2 92 96
2 100 -78
2 101 77
2 112 -34
2 113 -7
2 117 -16
2 126 -52
2 132 31
2 135 -93
2 145 -80
2 164 -73
2 169 71
2 181 50
2 186 -1
2 195 17
2 207 1
2 209 95
2 223 72
2 242 68
2 258 -51
2 261 -32
2 265 31
2 267 30
2 269 63
2 298 -28
2 307 -72
2 313 98
2 320 -85
2 322 61
2 364 -69
2 370 98
2 382 -57
2 384 71
2 395 -19
2 410 51
2 419 88
2 445 -23
2 447 -35
2 459 -38
2 476 -8
2 488 -13
2 490 62
2 491 -98
2 522 3
2 527 32
2 556 1
2 557 78
2 566 -21
2 581 88
2 585 98
2 589 -69
2 593 -6
2 601 -26
2 616 11
2 623 7
2 629 16
2 657 56
2 663 53
2 667 -33
2 668 -87
2 682 -65
2 683 60
2 727 1
2 738 45
2 744 43
2 756 -32
2 764 16
2 768 -11
2 783 -93
2 790 -39
2 796 29
2 812 -26
2 826 88
2 867 8
2 880 -10
2 888 43
2 894 -89
2 899 -12
2 905 19
2 910 51
2 924 -78
2 934 -53
2 937 76
2 946 -57
2 950 70
2 958 -88
2 962 16
2 972 -26
2 988 -55
3 20 -43
3 62 83
3 72 38
3 87 -17
3 92 82
3 98 88
3 104 -74
3 112 -85
3 121 40
3 122 16
3 154 14
3 164 62
3 176 -15
3 178 -24
3 185 -55
3 188 15
3 198 -48
3 203 49
3 220 -12
3 237 -75
3 255 -30
3 265 67
3 268 -29
3 269 -96
3 274 -75
3 285 66
3 289 19
3 300 -73
3 305 61
3 313 -4
3 327 15
3 331 29
3 334 62
3 344 -86
3 375 -78
3 378 24
3 380 46
3 382 -72
3 385 24
3 389 -60
3 398 76
3 401 63
3 412 -93
3 415 -26
3 421 -76
3 429 44
3 440 -55
3 481 34
3 484 95
3 485 72
3 497 4
3 505 -72
3 512 77
3 514 -38
3 533 53
3 544 24
3 548 63
3 552 38
3 574 -84
3 588 -52
3 603 -17
3 606 -1
3 607 -4
3 619 -90
3 636 -67
3 647 13
3 654 -54
3 689 64
3 704 10
3 707 -77
3 720 -84
3 724 66
3 728 63
3 750 47
3 754 -72
3 762 -12
3 763 94
3 766 -51
3 777 86
3 781 72
3 783 13
3 787 39
3 795 -35
3 797 9
3 806 93
3 821 -91
3 829 82
3 832 13
3 841 -96
3 847 66
3 851 45
3 881 -39
3 900 67
3 913 -60
3 920 -74
3 925 43
3 926 -20
3 932 50
3 933 -46
3 934 65
3 951 54
3 966 -90
3 970 68
3 977 45
3 981 50
3 984 83
3 992 16
3 996 91
4 10 -38
4 14 -58
4 15 39
4 20 -84
4 22 21
4 24 -41
4 25 -24
4 31 -79
4 37 -86
4 41 -53
4 63 -13
4 80 -77
4 88 51
4 93 -57
4 105 44
4 109 62
4 125 -54
4 129 99
4 135 -88
4 137 -90
4 139 -82
4 140 -7
4 149 -81
4 153 -27
4 159 26
4 166 -55
4 171 -14
4 181 -80
4 193 90
4 203 -90
4 206 -20
4 228 51
4 230 -82
4 250 -10
4 253 70
4 254 47
4 268 -40
4 279 94
4 291 -30
4 293 2
4 294 11
4 308 2
4 313 28
4 315 44
4 317 86
4 326 6
4 329 -38
4 373 -22
4 379 -22
4 392 -65
4 396 -47
4 414 63
4 427 69
4 448 -66
4 490 59
4 492 14
4 499 -42
4 513 -80
4 530 -75
4 533 11
4 537 90
4 552 66
4 558 -24
4 562 -15
4 580 -60
4 583 56
4 588 -28
4 596 77
4 597 -48
4 602 -12
4 603 -39
4 604 27
4 635 -71
4 639 -33
4 646 99
4 654 32
4 658 -47
4 683 75
4 689 -18
4 692 -27
4 710 41
4 712 -55
4 721 -81
4 740 50
4 755 -74
4 765 -8
4 773 -93
4 778 12
4 790 18
4 798 48
4 803 68
4 823 -78
4 826 7
4 838 -8
4 866 49
4 881 53
4 902 -23
4 915 12
4 917 22
4 940 -48
4 980 99
4 985 1
5 12 88
5 23 -32
5 35 40
5 84 17
5 86 -85
5 97 35
5 103 -57
5 150 63
5 218 26
5 222 -10
5 227 94
5 242 -28
5 249 -70
5 250 97
5 260 -20
5 269 -67
5 274 -6
5 275 -12
5 290 17
5 298 44
5 299 46
5 303 -51
5 305 13
5 312 -33
5 326 -10
5 334 -95
5 340 39
5 346 39
5 365 54
5 370 -77
5 382 55
5 387 98
5 392 -73
5 393 84
5 410 9
5 414 -64
5 435 -3
5 437 15
5 456 -3
5 470 14
5 495 -22
5 545 -54
5 551 -85
5 552 61
5 581 -67
5 600 31
5 609 88
5 619 -47
5 641 -84
5 648 53
5 655 66
5 680 -40
5 687 -59
5 695 -33
5 703 -16
5 741 -47
5 768 17
5 769 -76
5 783 13
5 786 -25
5 787 -60
5 790 73
5 821 -57
5 822 17
5 845 38
5 849 25
5 852 92
5 860 -39
5 866 7
5 867 85
5 868 -49
5 887 60
5 889 -41
5 890 -60
5 893 -10
5 966 74
5 970 35
5 991 -6
5 997 78
5 1000 87
6 14 51
6 25 58
6 31 -91
6 32 -51
6 38 65
6 40 -49
6 41 66
6 51 91
6 58 8
6 75 -1
6 99 -63
6 119 -83
6 128 -5
6 130 -10
6 135 88
6 139 -72
6 142 -31
6 147 -97
6 158 36
6 162 -70
6 196 -56
6 197 -39
6 198 -9
6 222 94
6 223 47
6 229 -25
6 253 -75
6 271 -58
6 274 -13
6 291 -97
6 295 -72
6 316 -63
6 320 -74
6 336 -54
6 337 98
6 339 11
6 347 20
6 356 -53
6 361 80
6 366 61
6 371 55
6 383 -41
6 401 -33
6 421 82
6 433 -52
6 439 94
6 480 -37
6 500 23
6 506 -13
6 516 35
6 518 89
6 527 -60
6 529 44
6 531 2
6 543 -37
6 549 -12
6 555 -76
6 564 -21
6 566 -27
6 578 63
6 597 64
6 604 -3
6 605 -25
6 622 -15
6 662 74
6 666 -60
6 667 -34
6 668 -74
6 672 -28
6 691 96
6 696 -58
6 707 95
6 708 -63
6 736 87
6 746 -9
6 750 49
6 751 -84
6 754 12
6 756 -98
6 758 -20
6 778 -2
6 780 31
6 795 77
6 798 -46
6 820 -8
6 824 61
6 831 -62
6 840 -80
6 888 76
6 897 -10
6 911 15
6 930 5
6 932 -35
6 933 68
6 944 91
6 955 55
6 958 -41
6 969 -61
6 975 -90
6 979 -16
7 22 90
7 25 28
7 60 -80
7 69 33
7 75 -94
7 76 -82
7 78 34
7 85 -40
7 89 16
7 106 -97
7 107 -62
7 108 41
7 123 -29
7 125 25
7 135 -96
7 136 -9
7 150 42
7 165 -27
7 168 29
7 175 59
7 183 73
7 186 55
7 193 -65
7 200 -46
7 201 30
7 209 -90
7 210 -71
7 216 72
7 218 81
7 228 25
7 229 30
7 246 96
7 278 7
7 287 50
7 296 47
7 312 -83
7 314 3
7 316 -95
7 321 -30
7 328 58
7 344 -71
7 353 -97
7 375 11
7 389 73
7 399 -95
7 403 -16
7 409 34
7 449 66
7 454 -4
7 472 -34
7 476 -97
7 477 17
7 479 63
7 487 53
7 500 -7
7 507 55
7 551 -14
7 580 67
7 600 -24
7 604 -25
7 617 88
7 623 5
7 654 -73
7 663 -47
7 678 70
7 679 -51
7 697 -15
7 699 8
7 718 -94
7 721 -83
7 726 -100
7 746 -73
7 751 -67
7 762 92
7 763 -17
7 767 86
7 794 84
7 798 -76
7 809 -57
7 812 66
7 845 -38
7 849 1
7 856 96
7 865 46
7 875 -57
7 881 -5
7 885 -30
7 897 48
7 900 83
7 924 -36
7 929 -39
7 933 64
7 944 16
7 949 -42
7 959 -74
7 963 62
7 984 -4
7 989 29
7 993 -61
8 41 -96
8 50 84
8 59 12
8 80 13
8 83 -45
8 94 -30
8 101 -8
8 110 -36
8 111 -21
8 117 -67
8 118 81
8 120 -52
8 134 -21
8 141 99
8 144 54
8 154 51
8 161 29
8 170 -90
8 180 19
8 183 -61
8 190 -46
8 191 -35
8 195 -27
8 204 -98
8 207 -28
8 225 -40
8 234 -14
8 271 31
8 272 -76
8 276 67
8 282 -36
8 288 70
8 309 56
8 313 -61
8 314 93
8 320 86
8 337 74
8 342 -23
8 346 -29
8 349 52
8 354 -63
8 376 -98
8 385 -100
8 388 -46
8 415 -97
8 423 -97
8 428 -50
8 438 30
8 456 98
8 463 3
8 478 -68
8 483 92
8 487 39
8 496 61
