# NAME: be50.9
# COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
51 172
1 9 73
1 10 -22
1 22 90
1 32 17
2 3 -21
2 35 -84
2 44 66
3 4 -66
3 11 9
3 20 -87
3 29 -9
3 30 60
3 32 84
3 33 -81
3 37 15
4 26 16
4 49 99
5 42 12
6 35 61
7 17 -100
7 20 -26
7 28 -60
8 10 24
8 16 -48
8 23 17
8 25 -94
8 32 -98
8 36 -14
8 46 -73
9 36 -61
9 38 70
9 48 17
10 30 7
10 40 -28
10 42 63
10 45 -21
11 30 -40
11 31 -49
11 34 -55
11 42 32
11 49 -33
12 14 -95
12 47 -28
13 18 9
13 24 -80
13 36 50
13 45 -96
13 46 34
13 48 -12
14 18 3
15 23 -71
15 24 36
15 44 47
16 25 95
16 27 16
16 32 -17
16 36 -40
16 49 -3
17 36 -61
18 25 24
19 20 -31
19 24 70
19 30 12
19 34 77
20 26 -36
20 42 -99
20 46 55
20 47 90
21 22 24
21 24 41
21 48 -31
21 50 -63
22 25 89
22 38 10
22 39 -52
23 24 -81
23 31 83
23 38 83
24 44 75
24 46 26
25 30 21
25 42 82
26 37 -4
26 48 5
26 49 -83
27 30 -69
27 33 -62
27 41 -95
27 42 72
27 46 -69
28 31 -43
28 33 -61
28 34 23
28 47 85
29 32 17
29 41 -95
30 32 -80
30 38 29
30 41 30
31 38 -92
32 33 -44
32 35 -22
32 43 -84
32 46 -24
33 37 -53
33 41 6
34 35 1
35 40 -3
35 45 3
36 39 8
38 41 69
38 50 -62
39 41 74
39 45 96
40 42 14
40 48 2
42 44 -58
42 45 86
43 45 34
43 48 32
47 49 93
48 49 -78
1 51 -158
2 51 39
3 51 96
4 51 -49
5 51 -101
6 51 -61
7 51 186
8 51 286
9 51 -99
10 51 -23
11 51 136
12 51 123
13 51 25
14 51 92
15 51 -12
16 51 -3
17 51 161
18 51 -36
19 51 -128
20 51 134
21 51 29
22 51 -77
23 51 -31
24 51 -87
25 51 -245
26 51 102
27 51 207
28 51 56
29 51 87
30 51 -57
31 51 101
32 51 251
33 51 295
34 51 -46
35 51 44
36 51 118
37 51 42
38 51 -107
39 51 -126
40 51 15
41 51 11
42 51 -204
43 51 18
44 51 -121
45 51 -33
46 51 51
47 51 -240
48 51 65
49 51 5
50 51 125
