# NAME: be50.4
# COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
51 161
1 7 73
1 9 -70
1 25 98
1 46 -27
2 6 -22
2 19 92
2 22 73
2 27 -97
2 34 96
2 46 17
2 50 -64
3 4 -58
3 7 -10
3 11 74
3 12 11
3 38 51
3 40 -92
4 16 -3
4 19 -9
4 24 -3
4 26 -24
6 20 88
6 38 91
6 50 75
7 8 -16
7 12 13
7 18 32
7 32 -66
7 37 -47
7 45 60
7 49 -15
8 10 -35
8 22 98
8 28 -43
8 29 -23
8 41 93
8 44 -29
9 12 -34
9 16 86
9 25 -18
9 29 32
9 33 -69
9 42 -82
10 27 96
11 31 -91
11 33 -33
12 19 -43
12 38 -2
12 47 -47
12 48 -72
13 19 -85
13 45 86
13 50 -70
14 28 -68
14 38 -72
14 42 -33
15 24 -17
15 39 -6
15 45 5
16 26 -99
16 29 40
16 31 39
16 33 51
17 25 -24
17 34 -58
18 33 -86
18 48 -88
19 23 22
19 32 -30
19 39 -8
20 46 -4
21 50 83
22 25 49
22 26 54
22 27 66
24 29 -58
24 42 79
24 43 47
24 48 -69
24 50 11
25 43 82
26 32 -59
26 49 61
27 35 -59
27 36 12
27 38 -62
27 40 -55
27 43 -27
27 49 15
28 32 -92
29 34 95
29 40 24
29 43 -10
29 47 -20
30 40 -58
31 33 74
31 34 -64
31 36 -4
31 38 -88
31 41 -18
31 45 29
31 46 46
32 34 68
33 48 -35
35 42 -53
37 48 28
38 40 5
39 44 45
40 45 44
41 49 -21
41 50 68
1 51 -74
2 51 -95
3 51 24
4 51 97
5 51 0
6 51 -232
7 51 -24
8 51 -45
9 51 155
10 51 -61
11 51 50
12 51 174
13 51 69
14 51 173
15 51 -38
16 51 -114
17 51 135
18 51 142
19 51 61
20 51 -84
21 51 -83
22 51 -340
23 51 -22
24 51 10
25 51 -187
26 51 67
27 51 111
28 51 203
29 51 -80
30 51 58
31 51 77
32 51 179
33 51 98
34 51 -137
35 51 112
36 51 -8
37 51 19
38 51 77
39 51 -31
40 51 132
41 51 -122
42 51 89
43 51 -92
44 51 -16
45 51 -224
46 51 -32
47 51 -2
48 51 236
49 51 -40
50 51 -163
