# NAME: Culberson graph. Specifications given below. Weights computed via the uniform distribution.
# COMMENT: DESCRIPTION: Quasi-random coloring problem
# CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca)
# Specifications:
# Random seed: 13185
# No hidden coloring
# Probability: 0.769218
# girth/degree-limited graph, girth 8, delta 1076, max 1311
# Degree Information:
# Min:4 Avg:6.512913 Max:14 Std:1.050756
# No verification required.
# Creation Date: Mon Apr 11 19:06:36 2016
# Weight distribution parameters: a=0.0; b=83.0; seed=1810.
# TYPE: Random Graphs
4453 14501
6 19 6.44783676037
14 52 53.7461702691
45 80 12.7386033099
74 100 19.5959587425
39 111 10.3878228777
61 112 28.4742475093
88 121 43.1461638029
92 122 50.5344032962
42 125 3.09346437533
32 126 59.4855309931
128 142 19.5992473924
21 161 54.4016431149
88 163 17.2745810866
140 166 36.4299751704
57 178 43.9981659312
106 180 39.1328315224
122 182 12.9341854871
28 184 65.5982760288
173 187 38.9560180072
71 188 81.9092662781
117 188 75.4711518626
145 193 0.118631036008
150 205 62.9771752472
119 206 61.8335396072
84 215 43.9309807523
5 216 43.8827891565
126 222 23.2305398418
37 232 48.7148900066
74 238 70.3395895539
37 242 19.6259812651
199 244 42.8223704158
123 245 71.1505317233
152 248 29.7301317504
66 251 57.3709733914
55 256 5.74303506735
114 256 5.87189851874
241 260 38.8822293879
62 262 27.9033577151
194 267 11.0142226447
245 267 68.7905961641
4 269 0.499380848403
185 270 33.2892466826
135 271 62.5172957524
252 272 63.2270474469
89 274 67.6240928443
46 276 14.4517486586
203 286 2.49020561874
183 292 18.9292540422
17 293 61.6693667596
73 293 25.6570917131
252 295 18.3524236267
27 297 70.9399523946
117 300 63.8458192052
41 302 13.0697926527
47 303 7.90536293295
158 303 45.3083073162
98 304 10.3250749661
39 306 57.1301460916
96 317 16.3750649653
128 318 68.9700362185
303 319 27.1573344414
277 322 35.2808058356
110 325 31.3744184251
319 325 74.683780711
134 326 50.3431980089
144 326 42.8090103882
275 331 4.08658235328
78 333 26.4969718394
225 334 21.9412553717
109 341 41.2405555276
95 344 9.85753314555
167 346 73.1201583475
223 347 4.96100648707
118 350 71.5058578769
23 352 55.6228461014
125 355 45.2672264764
233 355 10.2960241661
327 355 79.9890788366
133 356 53.7546186714
290 358 45.8305686299
337 358 0.351997122663
37 360 54.2589176368
12 364 42.2158099797
25 364 2.78804208481
52 364 67.0477656602
293 365 45.5878661626
302 367 81.9368005542
17 368 25.0571758774
31 368 50.5017419215
92 371 40.9880887219
299 376 17.4287651336
308 377 17.8824437252
237 378 72.733624196
318 380 2.15157214709
81 383 36.8879704438
190 387 31.6685432116
170 388 55.3654630973
136 391 16.8261058859
248 392 76.2712779374
263 393 59.1624643464
298 401 71.7871875575
93 403 31.4258132668
137 405 37.8756698155
308 406 40.4647914678
29 407 59.437027316
281 408 17.4443575069
76 410 16.2134396743
222 410 27.9246590766
147 412 74.3421625266
207 412 63.6565273095
139 413 44.2912816749
278 415 35.9386185787
389 416 12.4729455106
72 423 19.6647855397
312 424 27.1326107139
348 429 38.4336025546
389 431 68.2091586934
65 433 6.09463070835
408 433 58.47848891
431 434 82.8645626302
219 439 51.862697392
374 439 59.3038724311
266 441 32.0973133325
219 445 14.3684495999
311 447 52.6067278464
230 448 57.9088173328
366 448 40.0860872809
436 448 35.8983556034
28 452 23.2199069782
167 452 7.01817403907
442 452 49.2054826829
381 453 67.9066562404
149 454 20.3210008672
449 455 21.0905680283
208 458 10.2944565676
396 459 13.3065525328
394 462 59.6777848571
9 465 36.8628279882
452 467 51.9318855989
364 469 11.1509832741
169 471 22.5392560365
149 473 73.8052342425
251 475 16.7641873569
346 475 54.776754226
363 479 46.5828264951
317 480 27.707221616
246 482 24.6315267441
323 485 6.01613910303
427 486 9.26037029966
73 487 36.0387596091
344 488 54.259904261
313 489 17.0999798764
458 490 65.3983304527
101 491 79.6272971548
108 491 76.0905068375
320 493 41.4556932599
227 494 52.8312997606
257 494 4.38542123102
422 494 80.9561070346
342 496 76.8391639753
260 499 30.8376761395
198 500 37.2552211405
467 501 67.6393546512
58 502 47.7346219031
183 503 13.2112330029
42 504 60.3223654396
238 506 9.05136487665
66 507 46.590358759
221 508 40.4838633612
178 509 62.1916357425
311 512 44.453761672
468 512 58.6368349218
69 516 9.68258520037
276 516 60.6922975738
31 519 17.3597376523
330 519 65.1769206375
249 520 28.5585160156
93 523 44.7161978653
223 523 17.6087895582
313 523 54.6895598168
193 524 46.9279158928
382 525 24.1711918521
526 529 22.2327966758
388 530 58.9405936507
330 531 39.3232283085
74 532 30.8867971082
102 538 21.4516234916
135 539 12.1913284748
330 541 25.6007504062
307 546 79.6872033741
274 547 42.8196489332
281 547 57.1526021148
57 551 60.5158094161
174 551 75.7897520076
277 555 6.84941561071
228 556 66.4026666834
429 557 51.873705858
514 558 31.7455706769
330 559 2.18296165328
379 559 4.56525410349
420 559 71.3785866958
539 559 68.2391755096
191 562 25.8792641782
461 565 31.5503858524
234 569 17.7609380654
39 570 48.8240523216
332 570 28.8360574533
212 571 37.7897532652
393 572 64.1809582699
85 573 19.0828807252
473 573 22.1453595988
565 573 47.2832360249
350 575 30.0938836369
516 576 82.3404601575
526 576 32.9531732222
159 577 50.6324043842
296 583 34.0216121615
518 583 9.96291262452
54 584 35.7605830621
460 585 79.9883446148
106 588 54.6209420706
30 592 75.4619006722
545 592 64.2409754771
377 593 13.6234354716
334 595 71.1090714266
276 597 74.6898206051
361 598 16.576636579
522 598 77.0620367932
191 599 47.7642998302
264 599 41.5616168472
550 599 2.83003607037
4 600 43.8821013793
231 600 15.2348629562
427 602 48.561501736
2 603 66.4259599091
429 605 55.5166382326
465 607 48.5815604991
274 610 47.1927491105
502 612 20.0761838192
6 614 5.76869355035
232 617 25.5593963632
15 620 69.6799347591
25 620 0.542817941558
557 621 45.221447797
239 622 70.5904363122
243 622 35.45629431
477 622 54.396988516
391 626 75.5272947322
180 627 31.053657792
252 627 39.921048638
306 627 37.9705818576
610 634 15.2419826129
365 635 44.282353383
492 635 76.9479682353
335 640 56.0861049611
212 641 12.0010947321
267 642 49.0692004948
620 643 49.2606411886
414 644 27.8703201743
17 645 54.3539094668
623 646 62.3793380296
195 647 6.18275778055
147 648 48.3098052881
373 648 70.9460949238
189 649 38.5437392742
224 649 39.5420070422
512 650 44.29083769
110 651 73.1617239364
520 652 72.4238844541
586 654 16.3779330721
262 655 67.7246709074
10 656 27.4482252609
644 657 7.18723557276
91 659 62.9357101296
79 661 42.2968474118
120 664 41.3691014354
6 665 44.9638125526
384 665 53.3771126317
338 666 44.0484775804
499 666 26.4608829266
219 670 35.5900815292
244 670 64.9119360623
420 671 68.0299169453
51 672 3.52445763203
542 673 51.1880029497
548 673 18.1700167299
104 674 67.9354007022
94 675 26.2745841877
296 675 73.3566062242
84 678 44.8722958339
563 680 28.7582289155
159 682 43.926119321
203 686 52.7610453662
540 686 82.7046175437
72 687 32.2666879996
535 688 79.2023015134
451 689 61.7948087964
556 689 59.2335086958
640 689 28.1210534624
589 690 74.6991313303
586 694 50.8328305161
628 695 41.8709947015
598 696 33.7174374992
239 697 15.662293465
72 699 34.0759616239
659 699 50.7548892237
144 700 45.5397714001
251 700 76.6835795902
13 701 61.6990827046
105 701 28.0616902781
241 702 82.6387049485
410 702 69.4355334084
66 703 38.4673252629
183 705 13.179487654
143 706 81.0842736202
436 706 82.6718515643
608 707 55.3185353117
676 708 81.857276329
436 709 30.9377758109
383 710 38.9160590768
577 712 5.10337787444
142 716 55.2983707508
462 716 5.53070565693
508 717 10.9102525539
15 719 18.0540305207
611 719 49.3199473121
65 720 14.9686660386
126 720 31.3992411879
153 720 74.4986753273
514 722 69.0460929786
51 725 73.248075091
158 725 4.46235668493
496 728 27.4846685133
565 729 17.0953700857
645 729 15.5444862664
622 730 44.7096747056
30 731 21.4914891199
529 731 67.8369337611
32 732 79.6391242601
669 732 9.35950427298
131 733 72.8343324093
205 735 37.1969292292
214 735 27.0946289013
374 736 47.8385602359
727 738 45.2010679085
241 740 37.8260643721
715 742 55.3086205727
482 743 53.2330530986
322 744 25.9633904079
86 745 82.64916338
308 745 4.89553133592
479 745 81.2321066149
468 746 28.322665097
635 746 60.1374352433
436 747 14.8885654558
180 748 13.9811710679
390 748 41.0906022242
503 749 68.4415039753
456 750 69.0023578887
365 751 2.04853848791
63 752 67.1904078832
261 752 47.8043758739
278 752 5.23140284065
382 753 32.5441799663
469 753 30.3888967065
626 753 70.3127633926
3 754 81.2783487892
247 755 33.6397476089
258 756 39.1285391792
619 756 67.4556828335
181 758 50.9726041267
412 758 20.6249697332
199 759 32.5739798998
637 759 65.2691771938
648 760 29.3283697808
12 761 82.7835320266
54 761 77.7973680024
689 761 78.1843467821
657 762 11.9037210856
569 763 49.0932492928
151 764 42.1908913341
200 766 54.8128478755
250 766 27.8785890115
253 766 38.4438793764
198 767 7.63944277571
736 767 55.9920652059
7 768 15.154651742
608 768 69.247602099
374 770 8.71017924039
592 770 2.79764330543
353 771 54.8067884392
171 772 58.9483058777
201 772 52.317400826
112 775 45.2634067578
138 775 20.6970306302
705 775 69.6781343189
226 776 56.8749376645
454 776 44.6108224325
369 779 33.6242168224
427 780 27.3985228654
480 780 19.2660122187
561 780 62.6033276862
490 781 27.2519611766
755 781 27.5776220272
769 781 59.0758054918
179 783 50.6340365355
535 783 58.3468898002
666 783 71.5026449318
123 784 50.7228995538
39 785 46.5631217124
372 785 72.1127988215
474 786 78.8116675902
780 786 51.8266377917
239 788 3.27458783083
306 788 73.4092879676
522 788 61.4910138164
538 788 15.3906069303
487 789 18.1178483919
216 790 63.7152653338
684 790 74.4870264871
337 791 5.31006056664
130 792 43.5357311743
196 793 62.6622557664
777 794 72.2823331858
491 797 14.3193301795
395 798 21.158083311
525 799 28.7367206098
42 800 15.7358115758
564 802 64.3406523077
59 803 63.2603224649
620 803 2.35786239978
231 804 62.5302319398
285 804 41.2300606284
398 804 72.6980953465
710 804 51.2578013723
289 806 5.85743957602
638 806 59.755485505
515 807 43.4774285546
778 810 21.6172267045
597 811 81.9050439907
9 814 45.6943520006
280 814 6.13471760441
426 816 53.728627292
611 816 15.0568918598
688 817 2.48989072463
518 818 19.2385618616
790 818 40.633004412
433 820 81.6529734438
776 820 58.2197135848
68 821 79.8168129855
441 822 64.5561907457
250 823 74.1837596152
316 824 81.5368879896
345 826 21.3974843527
499 826 2.07381040566
537 826 10.8587464328
67 828 62.1730253854
596 828 4.26519645781
468 830 14.0632017126
619 830 12.8084776606
775 830 78.4781930276
216 831 1.98109087341
556 832 34.6243275449
338 833 15.0874783782
643 833 20.1221029429
645 833 24.1203840639
207 834 22.2147085313
52 838 66.0946793711
736 838 55.1566827438
777 838 70.9554118442
570 839 0.348064072062
360 841 37.5113840579
30 842 80.2453548294
662 842 68.989181769
391 843 52.6908362713
381 845 46.5500847701
135 847 61.093886448
400 847 37.8331571816
269 849 74.7231981222
470 850 81.3926748052
474 850 74.1391379598
299 851 33.4114316407
794 851 56.944796565
465 852 10.608895157
829 853 14.6624631656
487 854 39.3946395252
495 854 30.4653470929
658 854 38.0282061126
832 854 35.380269905
171 855 13.0211085488
632 855 68.5754236878
800 855 64.3358153438
194 856 50.4731770083
90 857 45.1393708852
553 857 51.0648872058
131 858 14.7881903184
541 859 57.0591079066
757 863 82.1499686468
239 865 82.6562946916
385 865 69.2123284377
662 865 26.7068429871
703 865 49.9439307659
744 868 46.066655514
756 870 48.1349362508
695 871 47.3624424836
833 871 45.0726924252
298 873 12.9708590095
845 873 8.25586892183
316 875 6.57867392932
528 876 80.7140796749
414 877 6.71778287098
60 880 77.7947062486
525 880 45.4967935863
238 881 48.8509976067
334 881 24.3352143086
77 882 58.5706328358
125 882 27.7709158772
440 882 78.425350419
486 883 78.9670835728
620 883 38.0693876582
204 884 66.6059067974
485 885 64.9931652001
549 885 5.0038603709
781 885 4.19354614927
56 886 45.9418249154
189 886 51.1487967729
437 886 74.2753481701
801 887 76.1642845907
16 888 4.28615190473
143 888 11.0393804478
418 889 53.4924613561
798 890 65.7573873079
459 891 11.5918904097
623 891 31.1704120458
685 891 59.9272713706
237 892 32.9995044317
403 892 22.7955969226
520 893 73.0619752055
417 894 16.9113138432
220 895 58.8878540784
485 895 23.953975635
586 895 43.1235239248
487 896 66.4919541406
808 896 30.3935847659
554 899 54.3620181741
612 901 57.4500819671
685 901 21.9583210726
850 901 44.3073887311
9 902 36.5182705548
500 903 0.780563222814
772 904 48.6241646638
251 905 45.5251756898
391 905 58.3242018197
191 909 77.3507864906
713 909 47.2893425091
218 910 2.96061044257
676 910 62.6801812226
686 910 46.9018774334
880 910 4.04744265342
141 911 15.0837960621
209 911 31.8976678346
222 911 11.4424978254
481 913 80.6661476113
831 914 51.7499292849
496 915 3.90185786925
611 916 11.6870717625
707 917 61.8799711025
581 918 12.3645849986
730 918 36.1732200407
623 919 66.5908337133
8 920 45.7278227352
413 921 24.6571542098
774 921 2.12852768353
140 922 27.6725126678
533 922 18.6113323318
70 924 5.4256076627
151 924 78.3974501511
173 924 42.8111575297
240 924 13.0700405077
723 924 6.65984971494
546 926 62.4866437617
394 927 29.5237208091
554 928 76.4422994638
652 928 21.6104885555
318 929 19.1709131594
850 929 35.9017407992
533 930 0.389034306357
713 931 37.7552405151
824 931 31.2829761662
532 932 52.5167984913
769 932 18.6085402487
355 933 11.0119251423
679 933 79.2888846447
578 934 31.6761971842
6 935 64.3429629983
767 935 47.9034856291
286 936 37.7166301387
446 936 73.5652044535
545 936 41.3612102775
811 936 18.7416153724
840 936 71.7073763086
278 937 59.1740617456
